,URLRating,DomainRating,IPFrom,ReferringPageURL,ReferringPageTitle,InternalLinksCount,ExternalLinksCount,LinkURL,TextPre,LinkAnchor,TextPost,Size,Type,NoFollow,Site-wide,Image,Encoding,Alt,FirstSeen,PreviousVisited,LastCheck,Original
5784,17,62,104.155.142.83,https://www.lunametrics.com/blog/2015/09/14/keyword-generation-tools-tips/,Keyword Generation Tools & Tips | LunaMetrics,95,72,https://backlinko.com/google-keyword-planner,,How to Use the Google Keyword Planner – Backlinko,,26795,href,False,False,False,utf8,,2017-09-21 05:09:40,2017-11-03 09:42:51,2017-11-04 18:59:31,False
5941,17,68,104.196.203.82,https://neilpatel.com/blog/optimize-online-store-organic-search/,Top 7 Strategies to Optimize Your Online Store for Organic Search,34,51,https://backlinko.com/google-keyword-planner,,Google Keyword Planner.,,20222,href,False,False,False,utf8,,2017-10-04 21:27:23,2017-10-29 20:22:01,2017-11-06 07:24:10,False
6379,17,46,92.122.154.71,https://www.manageinbound.com/blog/professional-blogger,Awesome! Complete Cheat Sheet to Write Like a Professional Blogger Today,15,75,https://backlinko.com/google-keyword-planner,Brian at Backlinko does a thorough step by step on,How to Use the Google Keyword Planner.,,24850,href,False,False,False,utf8,,2017-10-03 19:00:26,2017-10-28 22:55:05,2017-11-05 23:12:06,False
6630,16,54,176.58.102.157,https://techpoint.ng/2017/01/30/21-free-google-products-business-personal-productivity/,21 FREE Google products you can use to grow your business and personal productivity,44,66,https://backlinko.com/google-keyword-planner,,amazing guide to get you started,,22403,href,False,False,False,utf8,,2017-09-20 23:20:08,2017-10-21 20:52:32,2017-10-29 08:51:53,False
6856,16,75,65.254.244.120,http://ipage.com/blog/site-building-fact-vs-fiction-6-things-youre-probably-wrong-building-business-website/,Site Building Fact vs. Fiction — 6 Things You're Probably Doing Wrong While Building Your Business Website – iPage Blog,37,57,https://backlinko.com/google-keyword-planner,,Google Keyword Planner,,18435,href,False,False,False,utf8,,2017-10-04 06:57:53,2017-10-14 22:55:33,2017-10-27 12:44:30,False
6930,16,50,203.124.117.1,http://digitalphilippines.net/link-building-strategies-small-businesses/,11 Link Building Strategies for Small Businesses | Digital Philippines,50,76,https://backlinko.com/google-keyword-planner,Google Keyword Planner (,an instructional guide here,),25377,href,True,False,False,utf8,,2017-09-24 01:04:07,2017-11-01 07:04:27,2017-11-05 13:18:11,False
7298,16,52,104.18.46.13,https://g-ads.org/blog/google-keyword-planner/,آموزش ابزار گوگل کیورد پلنر (Google Keyword Planner) برای انتخاب کلمات کلیدی,59,17,https://backlinko.com/google-keyword-planner,منبع:,backlinko,,25185,href,True,False,False,utf8,,2017-09-22 10:48:51,2017-10-23 02:06:07,2017-10-31 07:01:36,False
8208,15,58,107.170.21.251,https://klientboost.com/ppc/keyword-research-tools/,27 Keyword Research Tools To Dig Up More Conversions,31,71,https://backlinko.com/google-keyword-planner,,Backlinko’s chapter,,31551,href,False,False,False,utf8,,2017-09-21 16:37:02,2017-10-20 06:02:11,2017-10-27 13:00:57,False
8634,15,68,104.196.203.82,https://neilpatel.com/br/blog/23-otimas-ferramentas-para-blog-que-todos-os-profissionais-de-marketing-de-conteudo-estao-usando/,23 Ferramentas para Blog que Todos os Profissionais de Marketing de Conteúdo Estão Usando,42,281,https://backlinko.com/google-keyword-planner,,Brian Dean,,37972,href,False,False,False,utf8,,2017-09-24 01:57:48,2017-11-02 11:25:26,2017-11-04 00:06:19,False
8985,14,45,104.18.34.232,https://www.visigility.com/seo-roi/,ROI of SEO for Small Business (Let's Crunch Real Numbers),24,28,https://backlinko.com/google-keyword-planner,Here’s a great guide on how to use the,Google Keyword Planner,.,23767,href,False,False,False,utf8,,2017-10-21 20:09:37,2017-09-15 02:34:28,2017-10-21 20:09:37,False
9277,14,70,34.232.197.147,https://zapier.com/blog/blog-seo-tools/,Better Blogging: How to Use Three Powerful SEO Tools Trusted by the Pros,10,26,https://backlinko.com/google-keyword-planner,"Related:For more tips on finding keywords, we recommend Brian Dean's",in-depth Google Keyword Planner guide,.,17246,href,False,False,False,utf8,,2017-09-21 13:36:25,2017-09-21 13:36:26,2017-10-18 14:50:38,False
9632,14,63,109.234.159.227,http://www.cossa.ru/trends/159335/,Как сделать видео центральным элементом SEO и получить результат. Читайте на Cossa.ru,93,51,https://backlinko.com/google-keyword-planner,советует принимать во внимание запросы с частотностью от 300. Проверить это можно в,Google Keyword Planner,.,25704,href,False,False,False,utf8,,2017-10-04 20:30:38,2017-10-29 00:09:41,2017-11-06 10:19:20,False
9785,14,54,192.254.176.198,http://blog.rankingbyseo.com/onpage-seo-tools/,52 Top On-Page SEO Tools Smart Digital Marketers Shouldn’t Ignore,150,74,https://backlinko.com/google-keyword-planner,easy-to-use tool. Brain Dean has written a comprehensive guide on,How to Get the Most Out of the Google Keyword Planner,. You can check this guide to learn how to,27726,href,True,False,False,utf8,,2017-09-23 06:05:06,2017-09-23 06:05:08,2017-10-01 03:39:52,False
9806,14,68,104.196.203.82,https://neilpatel.com/de/blog/23-schicke-blogging-tools-die-jeder-professionelle-content-vermarkter-verwendet/,"23 Schicke Blogging Tools, die jeder professionelle Content-Vermarkter verwendet",43,270,https://backlinko.com/google-keyword-planner,Hier eine Erläuterung der drei Kategorien von,Brian Dean,.,38697,href,False,False,False,utf8,,2017-09-21 18:09:29,2017-10-23 22:24:58,2017-10-31 02:00:33,False
10454,14,54,70.39.148.106,https://www.shivarweb.com/8159/effective-ways-to-use-keyword-planner/,13+ More Effective Ways To Use Keyword Planner for SEO,92,28,https://backlinko.com/google-keyword-planner,and end of keyword research efforts. There are plenty of,beginner guides for Keyword Planner,", but this post will focus on ways to use",16666,href,False,False,False,utf8,,2017-10-18 08:15:19,2017-10-27 03:18:11,2017-11-03 20:46:30,False
10724,14,59,31.186.96.170,https://spark.ru/startup/webest/blog/27514/201-poleznij-sovet-po-seo-optimizatsii,201 полезный совет по SEO-оптимизации,86,138,https://backlinko.com/google-keyword-planner,"Ещё в 2014 году я выпустил гайд, который включал",главу о Google Keyword Planner,". В то время, Keyword Planner был новинкой, как и",72081,href,True,False,False,utf8,,2017-09-22 02:20:24,2017-10-22 03:34:57,2017-10-30 02:27:13,False
11460,13,47,185.119.173.76,https://www.bespoke-digital.co.uk/guides/keyword-research/,Keyword Research. Top tips for conducting great SEO key word research.,85,25,https://backlinko.com/google-keyword-planner,AdWords Keyword Planner is a good place to start and,Chapter 2 of Backlinko’s Definitive Guide to Keyword Research,is another great resource (a brilliant read if you’ve got,22059,href,False,False,False,utf8,,2017-10-20 17:35:09,2017-10-28 18:18:14,2017-11-06 12:56:14,False
11496,13,68,104.196.203.82,https://neilpatel.com/es/blog/23-herramientas-inteligentes-de-blogging-que-todos-los-profesionales-del-marketing-de-contenidos-estan-usando/,23 Herramientas Inteligentes de Blogging Que Todos Los Profesionales del Marketing de Contenidos Están Usando,42,279,https://backlinko.com/google-keyword-planner,Aquí una explicación de,Brian Dean,de las tres categorías:,36749,href,False,False,False,utf8,,2017-09-19 14:21:38,2017-10-27 01:48:51,2017-11-03 18:52:05,False
11926,13,43,104.27.162.123,http://jcadusa.com/ultimate-guide-to-designing-and-manufacturing-your-product-idea/,"Ultimate Guide to Product Design, Development and Mass Production",38,42,https://backlinko.com/google-keyword-planner,,Google keyword planner,,47091,href,False,False,False,utf8,,2017-10-03 23:44:52,2017-10-12 11:22:38,2017-10-20 05:32:27,False
12528,13,63,109.234.159.227,http://www.cossa.ru/152/159335/,Как сделать видео центральным элементом SEO и получить результат. Читайте на Cossa.ru,94,42,https://backlinko.com/google-keyword-planner,советует принимать во внимание запросы с частотностью от 300. Проверить это можно в,Google Keyword Planner,.,24902,href,False,False,False,utf8,,2017-09-23 22:55:28,2017-10-01 18:08:36,2017-10-09 13:09:11,False
14655,13,57,52.165.236.90,https://brand24.com/blog/powerful-tools-keyword-research/,8 Keyword Research Tools for Successful SEO strategy | Brand24 Blog,28,27,https://backlinko.com/google-keyword-planner,"you are at right place, you are about to learn",how to use Google,". First of all, you must have a Google account",12985,href,False,False,False,utf8,,2017-10-04 04:12:19,2017-10-14 12:42:04,2017-10-22 09:39:20,False
15565,12,57,96.30.7.38,http://digitalmarketingphilippines.com/checklist-for-creating-an-effective-marketing-funnel/,Checklist for Creating an Effective Marketing Funnel | Digital Marketing Philippines,63,55,https://backlinko.com/google-keyword-planner,Source:,Backlinko,,17905,href,False,False,False,utf8,,2017-10-03 04:05:37,2017-10-03 04:05:38,2017-10-10 20:01:51,False
15860,12,56,104.25.60.17,https://www.andmine.com/onsite-seo-strategy/,Onsite SEO | Major Elements of SEO Strategy | AndMine Australia,28,23,https://backlinko.com/google-keyword-planner,Always start by researching relevant keywords using the Keyword Planner.,(Refer this tutorial for optimized use of the keyword planner),. Select a keyword that is relevant to you by,19472,href,False,False,False,utf8,,2017-09-20 14:51:48,2017-11-05 03:15:41,2017-11-06 08:38:16,False
16359,12,32,216.58.208.225,http://siteseostatus.blogspot.com/,Site Seo Status,51,42,https://backlinko.com/google-keyword-planner,,Google Keyword Planner,,35926,href,False,False,False,utf8,,2017-11-02 02:47:35,2017-10-25 10:55:22,2017-11-02 02:47:35,False
19051,12,70,34.199.208.181,https://theme.co/apex/forums/topic/adding-something-before-title/,Topic: Adding something before title | Themeco Community,18,3,https://backlinko.com/google-keyword-planner,,http://backlinko.com/google-keyword-planner,,21729,href,True,False,False,utf8,,2017-10-30 10:54:56,2017-08-28 11:35:38,2017-10-30 10:54:56,False
19196,12,54,184.168.47.225,http://onboardly.com/content-marketing/optimize-content-google-keyword-planner/,Google Keyword Planner: Optimize Content via @Onboardly,32,34,https://backlinko.com/google-keyword-planner,"Ideas” feature is designed for finding new keywords. However, as",Backlinko,"reminds us, the words generated from this search will be",16432,href,False,False,False,utf8,,2017-09-30 18:07:09,2017-10-27 05:23:26,2017-11-04 07:22:32,False
19237,12,59,107.161.186.11,https://www.techwyse.com/blog/search-engine-optimization/user-intent-drives-keyword-research/,How User Intent Drives Keyword Research - TechWyse 'Rise to the Top' Blog,60,19,https://backlinko.com/google-keyword-planner,"tonne of content around it, so here is a good",guide to using the Google Keyword Planner,.,35292,href,False,False,False,utf8,,2017-10-13 06:55:54,2017-08-31 02:13:35,2017-10-13 06:55:54,False
19997,12,63,104.25.148.27,https://ask.shoutmeloud.com/t/how-to-generate-quality-content-for-my-blog/15381,How to generate quality content for my blog - Blogging Question - ShoutMeLoud Bloggers Forum,17,7,https://backlinko.com/google-keyword-planner,,http://backlinko.com/google-keyword-planner,,15444,href,True,False,False,utf8,,2017-09-21 04:19:03,2017-10-26 14:52:29,2017-11-04 00:30:52,True
20660,12,56,198.49.23.144,https://wipster.io/blog/convert-casual-youtube-subscribers-into-loyal-customers,How to Convert Casual YouTube Subscribers into Loyal Customers — Wipster,37,28,https://backlinko.com/google-keyword-planner,when writing copy – especially the long-tail key terms. Use,Google Keyword Planner,to choose keywords you want your video to rank for.,28231,href,False,False,False,utf8,,2017-09-19 16:42:28,2017-10-29 03:38:37,2017-11-05 22:38:00,False
20791,12,53,192.186.216.160,http://barnraisersllc.com/2016/02/10-social-media-metrics-that-matter-most-free-webinar/,Top 10 social media metrics that matter most (free webinar),25,60,https://backlinko.com/google-keyword-planner,according to a Group M study. Google Trends and the,Google Keyword Planner,are two tools to use; the former identifies keywords that,11779,href,False,False,False,utf8,,2017-10-21 00:26:17,2017-09-27 03:30:31,2017-10-21 00:26:17,False
20795,12,53,192.186.216.160,http://barnraisersllc.com/2015/09/top-14-social-media-metrics-tools-track-them/,Top 14 social media metrics and tools to track them,25,62,https://backlinko.com/google-keyword-planner,according to a Group M study. Google Trends and the,Google Keyword Planner,are two tools to use; the former identifies keywords that,12221,href,False,False,False,utf8,,2017-10-02 20:02:39,2017-10-02 20:02:39,2017-10-25 20:18:10,False
21444,12,57,103.11.188.124,https://mediaonemarketing.com.sg/4-ways-winning-clients-using-seo/,4 Ways of Winning More Clients Using SEO - Top SEO Singapore Services. ISO Certified + Best SEO Awarded,32,11,https://backlinko.com/google-keyword-planner,communicate well with the target audience by using high-value keywords.,Google Keyword Planner,is one of the reliable tools that you can use,266869,href,True,False,False,utf8,,2017-09-23 19:29:26,2017-10-22 10:14:59,2017-10-30 06:57:02,False
21554,12,47,104.196.210.123,https://www.simplepinmedia.com/seo-and-pinterest/,SEO and Pinterest - Simple Pin Media,45,49,https://backlinko.com/google-keyword-planner,,Tutorial on the Google Keyword Planner Tool,,26814,href,False,False,False,utf8,,2017-10-01 03:40:32,2017-10-25 12:54:58,2017-11-03 05:40:32,False
22013,12,38,91.186.19.61,http://www.letsbookmarkit.com/,About Social Bookmarking,18,16,https://backlinko.com/google-keyword-planner,"show you how to do this, but I most recommend",Backlinko’s Guide,to finding profitable keywords with this tool.,9752,href,False,False,False,utf8,,2017-10-06 01:49:32,2017-10-29 07:48:31,2017-11-06 08:09:19,False
22052,12,66,34.226.185.129,https://www.instamojo.com/blog/google-tools-webmasters-online-business-marketing/,Google Tools Every Online Business Should Know + 3 Bonus Tools - Blog Instamojo,26,32,https://backlinko.com/google-keyword-planner,,Keyword Planner tool,,16505,href,False,False,False,utf8,,2017-10-04 08:37:17,2017-09-18 12:32:37,2017-10-04 08:37:17,False
22066,12,51,46.30.213.31,https://www.techtricksworld.com/boost-organic-traffic/,Tips To Boost Your Organic Traffic,50,145,https://backlinko.com/google-keyword-planner,might want to learn to use? Yes? Read here on,Brian’s Blog about using keyword planner.,,42339,href,True,False,False,utf8,,2017-09-20 10:49:19,2017-10-21 15:26:08,2017-10-30 01:48:59,False
22092,12,51,104.237.154.122,https://www.affiliateroyale.com/2017/04/use-long-tail-keywords-effectively/,4 Ways Affiliate Marketers Can Use Long-Tail Keywords Effectively | Affiliate Royale,32,18,https://backlinko.com/google-keyword-planner,Use Google Keyword Planner to,perform research,.Enter the long-tail keyword of choice into the Keyword Planner.,8503,href,False,False,False,utf8,,2017-10-26 15:29:32,2017-10-26 15:29:33,2017-11-03 16:48:09,False
22132,12,51,176.9.94.29,https://www.adwordsrobot.com/en/guide/adwords-search-ads---the-ultimate-guide,AdWords Search Ads - The Ultimate Guide — AdWords Robot,37,80,https://backlinko.com/google-keyword-planner,,How to Use the Google Keyword Planner,,14051,href,False,False,False,utf8,,2017-10-21 18:04:43,2017-09-11 07:03:42,2017-10-21 18:04:43,False
22239,12,66,104.196.44.166,https://www.pixelunion.net/blog/the-101-point-holiday-sales-checklist-for-online-stores/,The 101-Point Holiday Checklist for Online Stores - Pixel Union,21,142,https://backlinko.com/google-keyword-planner,,Google Keyword Planner,,40407,href,False,False,False,utf8,,2017-09-20 19:41:35,2017-10-23 22:29:52,2017-11-01 04:03:43,False
23321,11,51,45.33.39.71,http://blogszino.com/blogging/seo-copywriting-17-powerful-secrets-updated-for-2017/,"SEO Copywriting: 17 Powerful Secrets (Updated for 2017) – Bloggers network | Join, Connect, share and grow online | DR 56",67,48,https://backlinko.com/google-keyword-planner,for long tail keywords that may not show up in,the Google Keyword Planner,:,27757,href,False,False,False,utf8,,2017-09-26 19:43:32,2017-10-27 05:46:27,2017-11-04 14:52:15,True
23564,11,63,216.238.155.12,https://marketingexperiments.com/copywriting/a-primer-for-writing-promotional-informative-and-entertaining-content-that-captivates-readers,"A Primer for Writing Promotional, Informative and Entertaining Content that Captivates Readers - MarketingExperiments",55,32,https://backlinko.com/google-keyword-planner,Google Keyword Planner (,How to use it,),20447,href,False,False,False,utf8,,2017-10-03 14:13:42,2017-10-21 06:59:01,2017-10-29 11:14:39,False
23751,11,45,212.18.63.32,http://www.matijazajšek.com/ucinkovito-spletno-oglasevanje-bloganje/,100% učinkovito spletno oglaševanje s pomočjo bloga,51,17,https://backlinko.com/google-keyword-planner,Poglejte si npr. njegov,članek o analizi ključnih besed,". V njegovi vsebini skoraj nimate možnosti, da ne boste",104321,href,False,False,False,utf8,,2017-10-17 22:29:21,2017-10-26 10:55:22,2017-11-02 22:41:38,False
24157,11,59,109.73.238.207,http://blog.whitesharkmedia.com/adwords-best-channel-for-small-businesses/,21 Reasons AdWords is the Best Channel for Small Businesses,83,18,https://backlinko.com/google-keyword-planner,know where to start with your keywords list? With AdWords’ powerful,keyword planner,", you can gain insight and help with your keyword",21802,href,False,False,False,utf8,,2017-10-06 21:27:53,2017-10-17 06:24:09,2017-10-25 04:41:03,False
24206,11,53,66.198.245.25,https://webprofits.agency/blog/e-commerce-product-pages/,A Step-by-Step Process for Optimizing E-commerce Product Pages - Web Profits Blog,22,130,https://backlinko.com/google-keyword-planner,,Keyword Planner,,23049,href,False,False,False,utf8,,2017-09-20 13:33:46,2017-10-30 14:44:49,2017-10-30 23:29:08,False
24320,11,59,31.186.96.170,https://spark.ru/startup/webest/blog/27514/201-poleznij-sovet-po-seo-optimizatsii?from=vc,201 полезный совет по SEO-оптимизации,86,138,https://backlinko.com/google-keyword-planner,"Ещё в 2014 году я выпустил гайд, который включал",главу о Google Keyword Planner,". В то время, Keyword Planner был новинкой, как и",72099,href,True,False,False,utf8,,2017-10-23 17:14:33,2017-09-02 05:26:32,2017-10-23 17:14:33,False
24640,11,55,178.208.75.23,https://wbest.ru/blog/201-poleznyy-sovet-po-seo-optimizacii/,201 полезный совет по SEO-оптимизации | Блог Вэбест,9,123,https://backlinko.com/google-keyword-planner,"Ещё в 2014 году я выпустил гайд, который включал",главу о Google Keyword Planner,". В то время, Keyword Planner был новинкой, как и",59029,href,False,False,False,utf8,,2017-10-18 07:34:58,2017-10-27 16:40:36,2017-11-04 14:09:08,False
24905,11,64,54.85.22.218,https://www.warriorforum.com/search-engine-optimization/987091-google-keyword-tool.html,Google Keyword Tool | Warrior Forum - The #1 Digital Marketing Forum & Marketplace,135,31,https://backlinko.com/google-keyword-planner,,How to Use the Google Keyword Planner,,57138,href,True,False,False,utf8,,2017-10-21 05:14:23,,2017-10-21 05:14:23,True
25138,11,63,109.234.159.227,http://www.cossa.ru/trends/159335/href=,Как сделать видео центральным элементом SEO и получить результат. Читайте на Cossa.ru,93,44,https://backlinko.com/google-keyword-planner,советует принимать во внимание запросы с частотностью от 300. Проверить это можно в,Google Keyword Planner,.,28308,href,False,False,False,utf8,,2017-10-22 23:45:06,2017-08-27 10:45:10,2017-10-22 23:45:06,False
25180,11,59,31.186.96.170,https://spark.ru/startup/5oclick/blog/17317/belie-metodi-seo-optimizatsii-kak-dobitsya-pervogo-mesta-v-ranzhirovanii,Белые методы SEO-оптимизации: как добиться первого места в ранжировании,57,34,https://backlinko.com/google-keyword-planner,интересуются темой «здоровье сотрудников». Затем он проверил этот запрос в,Google Keyword Planner,:,32632,href,True,False,False,utf8,,2017-10-31 13:00:12,2017-09-11 16:41:21,2017-10-31 13:00:12,False
25405,11,38,104.20.20.70,https://getritty.com/blog/run-google-adwords-campaign-auto-glass-replacement/,How to Run a Google Adwords Campaign for Auto Glass Replacement - Ritty,45,19,https://backlinko.com/google-keyword-planner,data for each. Here’s a great article on how to,get the most out of the Keyword Planner,.,18096,href,False,False,False,utf8,,2017-10-05 07:46:40,2017-10-21 16:12:26,2017-11-02 16:45:01,False
32361,11,62,108.168.151.66,http://www.apsense.com/archive/8-ways-to-drive-website-traffic-to-your-site-with-googlegoogle-keyword-planner.html,8 Ways to Drive Website Traffic to Your Site With Google+(Google Keyword Planner) by Siteseo Status,32,13,https://backlinko.com/google-keyword-planner,,Google Keyword Planner.,,7696,href,True,False,False,utf8,,2017-11-04 01:53:39,2017-09-10 23:04:53,2017-11-04 01:53:39,False
32546,11,63,109.234.159.227,https://www.cossa.ru/trends/159335/,Как сделать видео центральным элементом SEO и получить результат. Читайте на Cossa.ru,91,45,https://backlinko.com/google-keyword-planner,советует принимать во внимание запросы с частотностью от 300. Проверить это можно в,Google Keyword Planner,.,23516,href,False,False,False,utf8,,2017-09-23 13:58:11,2017-07-27 06:45:48,2017-09-23 13:58:11,False
32592,11,62,108.168.151.66,https://www.apsense.com/archive/things-you-didnt-know-about-inbound-marketing.html,THINGS YOU DIDN’T KNOW ABOUT INBOUND MARKETING by Meenu Makan,30,27,https://backlinko.com/google-keyword-planner,explained in this complete post {Link any of these three:,http://backlinko.com/google-keyword-planner,", https://www.quicksprout.com/university/how-to-use-google-keyword-planning-tool/ , https://support.google.com/Adwords/answer/2999770 }",11768,href,True,False,False,utf8,,2017-11-05 17:40:42,2017-09-09 11:10:15,2017-11-05 17:40:42,False
32627,11,62,108.168.151.66,http://www.apsense.com/archive/things-you-didnt-know-about-inbound-marketing.html,THINGS YOU DIDN’T KNOW ABOUT INBOUND MARKETING by Meenu Makan,30,23,https://backlinko.com/google-keyword-planner,explained in this complete post {Link any of these three:,http://backlinko.com/google-keyword-planner,", https://www.quicksprout.com/university/how-to-use-google-keyword-planning-tool/ , https://support.google.com/Adwords/answer/2999770 }",11711,href,True,False,False,utf8,,2017-10-29 01:19:24,,2017-10-29 01:19:24,True
32797,11,61,104.197.85.218,https://placester.com/real-estate-marketing-academy/real-estate-advertising-google-adwords-glossary/,Real Estate Advertising Google AdWords Glossary,42,72,https://backlinko.com/google-keyword-planner,Further Reading:,How to Use the Google Keyword Planner — Backlinko,,48991,href,False,False,False,utf8,,2017-09-23 21:06:05,2017-11-01 17:12:41,2017-11-02 17:17:06,False
32880,11,53,46.137.92.62,http://blog.copify.com/category/social-media,Social Media Archives - Copify Blog,46,56,https://backlinko.com/google-keyword-planner,"up for and simple to use, but you can use",this guide,if you’re stuck. You can also invest in a paid,16738,href,False,False,False,utf8,,2017-10-09 11:26:05,2017-10-24 22:39:12,2017-11-02 07:40:20,False
33283,11,47,104.28.22.228,https://nataliebacon.com/seo-tips-increase-blog-traffic/,21 SEO Tips To Increase Blog Traffic Right Now - Natalie Bacon,85,102,https://backlinko.com/google-keyword-planner,the Keyword Planner to do my keyword research. Here’s an,amazing article on Google’s Keyword Planner,.,35992,href,False,False,False,utf8,,2017-09-23 03:18:55,2017-10-31 20:10:34,2017-11-02 14:15:43,False
33833,11,52,77.104.138.173,http://blog.customerfocus.com/2015/12/14/how-to-succeed-in-2016-in-five-easy-steps/,How to succeed in 2016 in five easy steps – Customer Focus Software Blog,65,22,https://backlinko.com/google-keyword-planner,your video. Here’s a step-by-step guide on how to use,Google Keyword Planner,.,18798,href,False,False,False,utf8,,2017-10-17 12:27:05,2017-10-17 12:27:05,2017-11-05 02:58:35,False
33851,11,45,77.104.162.37,https://www.universalbloggingtips.com/search-long-tail-keywords-posts/,How To Search Long Tail Keywords For Your Posts? - Universal Blogging Tips,56,25,https://backlinko.com/google-keyword-planner,"Earlier, I used to rely a lot on",Google keyword planner,to search long tail keywords but now as they have,90758,href,True,False,False,utf8,,2017-10-02 17:12:33,2017-10-10 14:12:17,2017-11-06 08:54:31,False
33913,11,53,198.61.189.145,http://curious.stratford.edu/2017/04/06/white-hat-seo-vs-black-hat-seo-whats-the-difference/,White Hat SEO vs. Black Hat SEO: What’s the Difference? | Curious,128,18,https://backlinko.com/google-keyword-planner,lot of volume yet—a sweet spot for your content. The,Google Keyword Planner,is a good tool to find keyword ideas.,74972,href,False,False,False,utf8,,2017-10-08 20:15:17,2017-10-25 06:24:33,2017-11-02 10:03:07,False
34293,11,53,162.144.89.114,http://email1k.com/course/lesson-2/,Lesson 2: Creating Content That Drives Targeted Traffic | Email1K: Double your Email list in 30 days,17,168,https://backlinko.com/google-keyword-planner,describe your site’s niche. (If you don’t have an account,here are some simple steps,you can use.),146533,href,False,False,False,utf8,,2017-10-04 00:49:21,2017-10-28 17:52:49,2017-11-05 20:01:36,False
